ligand_id,target_id,replicate,docked_pdbqt,docked_sdf,energies
CBN,2am9,4,"['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_0_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_1_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_2_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_3_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_4_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_5_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_6_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_7_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_8_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_9_replicate4.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_0_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_1_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_2_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_3_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_4_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_5_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_6_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_7_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_8_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBN/2am9_CBN_9_replicate4.sdf']","[-7.168, -7.168, -7.168, -7.168, -7.168, -7.168, -7.168, -7.168, -7.168, -7.168]"
CBD,2am9,4,"['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_0_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_1_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_2_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_3_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_4_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_5_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_6_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_7_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_8_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_9_replicate4.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_0_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_1_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_2_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_3_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_4_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_5_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_6_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_7_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_8_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/CBD/2am9_CBD_9_replicate4.sdf']","[-6.669, -6.669, -6.669, -6.669, -6.669, -6.669, -6.669, -6.669, -6.669, -6.669]"
MDMBCHMINACA,2am9,4,"['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_0_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_1_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_3_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_2_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_5_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_6_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_7_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_8_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_9_replicate4.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_0_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_1_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_3_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_2_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_4_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_5_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_6_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_7_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_8_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/MDMBCHMINACA/2am9_MDMBCHMINACA_9_replicate4.sdf']","[-4.631, -4.631, -4.631, -4.631, -4.631, -4.631, -4.631, -4.631, -4.631, -4.631]"
5FAKB48,2am9,4,"['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_0_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_1_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_2_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_3_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_4_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_5_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_6_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_7_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_8_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_9_replicate4.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_0_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_1_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_2_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_3_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_4_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_5_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_6_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_7_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_8_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/5FAKB48/2am9_5FAKB48_9_replicate4.sdf']","[-7.128, -7.128, -7.128, -7.128, -7.128, -7.128, -7.128, -7.128, -7.128, -7.128]"
HU210,2am9,4,"['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_0_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_1_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_2_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_3_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_5_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_4_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_6_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_7_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_9_replicate4.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_8_replicate4.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_0_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_1_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_2_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_3_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_5_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_4_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_6_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_7_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_9_replicate4.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 4/HU210/2am9_HU210_8_replicate4.sdf']","[-4.42, -4.42, -4.42, -4.42, -4.42, -4.42, -4.42, -4.42, -4.42, -4.42]"
Testosterone,2am9,5,"['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_0_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_2_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_3_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_1_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_4_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_5_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_6_replicate5.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_0_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_2_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_3_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_1_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_4_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_5_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/Testosterone/2am9_Testosterone_6_replicate5.sdf']","[-10.606, -10.606, -10.606, -10.606, -10.606, -10.606, -10.606]"
DTHC,2am9,5,"['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_0_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_2_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_5_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_1_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_3_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_4_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_6_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_7_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_8_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_9_replicate5.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_0_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_2_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_5_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_1_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_3_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_4_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_6_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_7_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_8_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DTHC/2am9_DTHC_9_replicate5.sdf']","[-6.31, -6.31, -6.31, -6.31, -6.31, -6.31, -6.31, -6.31, -6.31, -6.31]"
LTHC,2am9,5,"['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_2_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_1_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_0_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_3_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_4_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_5_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_6_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_7_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_8_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_9_replicate5.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_2_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_1_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_0_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_3_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_4_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_5_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_6_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_7_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_8_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/LTHC/2am9_LTHC_9_replicate5.sdf']","[-6.307, -6.307, -6.307, -6.307, -6.307, -6.307, -6.307, -6.307, -6.307, -6.307]"
R1881,2am9,5,"['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_0_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_1_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_2_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_3_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_4_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_5_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_6_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_8_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_7_replicate5.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_0_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_1_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_2_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_3_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_4_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_5_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_6_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_8_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/R1881/2am9_R1881_7_replicate5.sdf']","[-10.015, -10.015, -10.015, -10.015, -10.015, -10.015, -10.015, -10.015, -10.015]"
DHT,2am9,5,"['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_0_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_1_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_2_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_3_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_5_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_4_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_6_replicate5.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_7_replicate5.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_0_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_1_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_2_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_3_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_5_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_4_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_6_replicate5.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/2am9/replicate 5/DHT/2am9_DHT_7_replicate5.sdf']","[-10.948, -10.948, -10.948, -10.948, -10.948, -10.948, -10.948, -10.948]"
